IMG_ID,normal_rg,normal_threshold_fc,rg_variant,fc_variant,fc_minus_rg,ostia_status,left_dist_mm,right_dist_mm,fuzzy_threshold_fc,fuzzy_threshold_rg,fuzzy_threshold_balanced_fc,fuzzy_threshold_balanced_rg,normal_fc_semi_permissive,normal_fc_permissive,normal_fc_strict
315,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.002804193361055196,both_tolerable,0.0,0.5,0.6432700977705487,0.6460742911316039,,,,,
330,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.06247243383845158,both_tolerable,1.91015625,1.9745118129335317,0.6208358368382402,0.6833082706766918,,,,,
344,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.006519177109131302,both_tolerable,2.3132520947588593,0.0,0.7310478615379952,0.7375670386471265,,,,,
380,,,fuzzy_threshold_rg,fuzzy_threshold_fc,0.031872315272417406,both_tolerable,2.3495403733114086,1.739843048383334,0.5838377402569821,0.5519654249845647,,,,,
428,,,fuzzy_threshold_rg,fuzzy_threshold_fc,0.006963140615312002,both_tolerable,0.0,1.2202077119702048,0.6354814824437198,0.6285183418284078,,,,,
447,,,fuzzy_threshold_rg,fuzzy_threshold_fc,0.01118491724791143,found_but_wrong,0.0,11.388690465010123,0.47853380019557745,0.467348882947666,,,,,
518,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.021754759119145373,both_tolerable,0.69140625,0.8532541254157887,0.6814310051107325,0.7031857642298779,,,,,
538,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.11696385964587958,both_tolerable,0.0,0.8095744354916121,0.44145372277170286,0.5584175824175824,,,,,
550,,,fuzzy_threshold_rg,fuzzy_threshold_fc,0.00036451403530557425,both_tolerable,0.0,1.6331862610496237,0.5429328561104036,0.5425683420750981,,,,,
603,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.0036717587081999126,found_but_wrong,0.0,7.171684578422479,0.4455701953657428,0.44924195407394274,,,,,
608,,,fuzzy_threshold_rg,fuzzy_threshold_fc,0.037420137254486785,both_tolerable,1.3680800657879093,0.5,0.7056025162178101,0.6681823789633233,,,,,
631,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.021829265925034758,both_tolerable,0.0,1.113000238656758,0.7024996646246031,0.7243289305496379,,,,,
676,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.062005437617421166,both_tolerable,1.1576348337032387,0.8916609243998318,0.4360142874738268,0.498019725091248,,,,,
696,,,fuzzy_threshold_rg,fuzzy_threshold_fc,0.028297797740612363,both_tolerable,0.0,1.739843048383334,0.6592172650836688,0.6309194673430565,,,,,
