IMG_ID,dice_artery,artery_voxels,both_correct,both_tolerable,left_intersects,right_intersects,left_dist_mm,right_dist_mm,ostia_left,ostia_right,error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile
184,0.6735536060779973,16862.0,False,True,False,False,0.73828125,1.4457241812334485,"(90, 150, 162)","(110, 125, 192)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
384,0.502886385621119,10769.0,False,True,True,False,0.0,0.8852031375489823,"(97, 160, 224)","(108, 117, 244)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
266,0.7255604557148108,19547.0,False,True,False,False,2.546875,1.029961908617559,"(100, 169, 174)","(117, 133, 194)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
764,0.7621288779072047,49249.0,True,False,True,True,0.0,0.0,"(99, 185, 117)","(114, 135, 155)",,ambos corretos,scipy,N/A,"(2, 2, 1)",99.7
73,0.42321131079626706,20993.0,False,True,True,False,0.0,0.5,"(91, 155, 159)","(119, 126, 195)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
960,0.7131055950195546,23987.0,False,True,True,False,0.0,0.5,"(91, 148, 174)","(111, 116, 212)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
857,0.6881133982087734,36340.0,False,True,False,True,0.8595969173697416,0.0,"(85, 152, 144)","(103, 111, 182)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
483,0.6133816921994262,17412.0,False,True,True,False,0.0,1.029961908617559,"(114, 169, 185)","(131, 132, 216)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
214,0.7227465119924753,29332.0,False,True,True,False,0.0,0.5,"(92, 175, 214)","(121, 141, 243)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
209,,,False,False,True,False,0.0,11.44706751156198,"(97, 172, 157)","(146, 87, 153)",,um correto,scipy,N/A,"(2, 2, 1)",99.7
239,0.6348941778432436,21895.0,False,True,False,True,7.1851431258034975,0.0,"(106, 174, 175)","(121, 146, 191)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
464,0.6061735103107454,17371.0,False,True,True,False,0.0,1.0,"(116, 177, 166)","(126, 133, 191)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
470,0.27808535987104915,6329.0,False,True,False,False,2.37890625,1.8728584775559325,"(85, 151, 157)","(98, 132, 193)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
982,,,False,False,False,False,1.93359375,15.356039125440853,"(97, 140, 113)","(110, 99, 113)",,nenhum correto,scipy,N/A,"(2, 2, 1)",99.7
403,0.7774419798141073,24877.0,False,True,False,False,1.2531211034852139,0.8125,"(100, 144, 181)","(102, 109, 210)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
308,0.684634849643971,21941.0,False,True,True,False,0.0,0.8564224849081498,"(99, 178, 189)","(116, 131, 225)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
472,0.6933712830499588,30380.0,False,True,False,False,1.0385630848677416,1.7768586219786875,"(101, 159, 202)","(117, 131, 231)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
267,0.48906072743268586,15080.0,False,True,False,True,0.907898554441106,0.0,"(92, 135, 152)","(103, 101, 200)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
117,0.6851883291697994,37615.0,True,False,True,True,0.0,0.0,"(101, 156, 175)","(112, 116, 205)",,ambos corretos,scipy,N/A,"(2, 2, 1)",99.7
507,0.6182787408859616,21346.0,False,True,False,False,2.1796875,0.7265625,"(97, 145, 197)","(108, 107, 227)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
590,0.4815529757211604,12448.0,False,True,False,False,6.468584878629271,0.907898554441106,"(121, 136, 153)","(120, 100, 180)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
646,,,False,False,False,False,12.676878443462037,0.8981402361485997,"(86, 176, 197)","(113, 144, 207)",,nenhum correto,scipy,N/A,"(2, 2, 1)",99.7
541,0.41663540885221306,13285.0,False,True,False,True,1.2076947508903584,0.0,"(96, 173, 173)","(114, 144, 214)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
869,0.3352679223244269,14934.0,False,True,False,False,1.1377451873456221,1.0,"(95, 187, 163)","(104, 155, 188)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
862,0.6595949237277272,28989.0,False,True,False,True,0.796875,0.0,"(85, 127, 193)","(98, 85, 225)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
87,0.6921569866649814,23803.0,False,True,True,False,0.0,1.345667690480501,"(101, 162, 191)","(111, 122, 218)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
957,0.6149141168960347,33546.0,False,True,False,False,1.3671875,1.0,"(101, 161, 136)","(111, 116, 178)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
317,0.6506498365242286,32110.0,False,True,False,False,0.63671875,2.672448882995999,"(95, 157, 214)","(119, 113, 243)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
981,0.601510174480611,10079.0,False,True,True,False,0.0,1.666701252896346,"(85, 140, 160)","(109, 104, 197)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
949,,,False,False,False,False,17.649158559307082,0.5,"(89, 152, 209)","(125, 125, 208)",,nenhum correto,scipy,N/A,"(2, 2, 1)",99.7
614,0.7013257499899868,22954.0,False,True,False,False,1.6508470615135167,2.2305371596339327,"(92, 134, 191)","(109, 99, 205)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
116,0.4125320694003566,15185.0,False,True,False,False,0.71875,1.811961126790528,"(100, 170, 146)","(121, 137, 183)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
513,0.7401645242216215,24787.0,True,False,True,True,0.0,0.0,"(97, 155, 163)","(125, 118, 212)",,ambos corretos,scipy,N/A,"(2, 2, 1)",99.7
755,0.6566248385310943,22435.0,False,True,False,True,2.015625,0.0,"(107, 142, 149)","(113, 113, 184)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
557,0.4245503777495487,8149.0,False,True,False,False,0.5,1.231503780952377,"(95, 149, 161)","(103, 111, 201)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
978,0.5351468632620209,17709.0,False,True,False,False,2.16796875,0.8787673501354397,"(96, 151, 191)","(103, 109, 202)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
