variant,split,IMG_ID,threshold_mode,contextual_apply_to,artery_method,dice_artery,artery_voxels,ostia_success,ostia_found,ostia_status,both_correct,both_tolerable,left_dist_mm,right_dist_mm,segmentation_attempted,threshold_voxels,lcc_voxels,mean_contextual_weight,fc_processed_voxels,fc_effective_alpha,error
fuzzy_threshold_rg,train,696,contextual_object,none,region_growing,0.6309194673430565,19342,True,True,both_tolerable,False,True,0.0,1.739843048383334,True,8595784,8355060,0.9998175501823425,,,
fuzzy_threshold_rg,train,194,contextual_object,none,region_growing,0.7893726193848962,33629,True,True,both_tolerable,False,True,0.8095744354916121,1.345667690480501,True,12717869,12442861,0.9997289776802063,,,
fuzzy_threshold_rg,train,305,contextual_object,none,region_growing,0.689992774566474,29180,True,True,both_tolerable,False,True,1.8419615266408254,0.0,True,11292457,11065336,0.9997190833091736,,,
fuzzy_threshold_rg,train,344,contextual_object,none,region_growing,0.7375670386471265,34839,True,True,both_tolerable,False,True,2.3132520947588593,0.0,True,12351898,10938761,0.999750554561615,,,
normal_threshold_fc,train,28,normal,none,fuzzy_connectedness,0.6566606660666067,20255,True,True,both_tolerable,False,True,1.0737001589130926,0.8375058302035873,True,11132512,10785632,0.9997652769088745,5502.0,0.18,
normal_threshold_fc,train,380,normal,none,fuzzy_connectedness,0.5789442057506835,31088,True,True,both_tolerable,False,True,2.295722101174337,1.739843048383334,True,7780773,7643416,0.9997559785842896,8162.0,0.18,
normal_threshold_fc,train,854,normal,none,fuzzy_connectedness,0.6349572753411898,25010,True,True,both_tolerable,False,True,1.2734375,0.63671875,True,10687984,10438449,0.9997885823249817,6027.0,0.18,
normal_threshold_fc,train,937,normal,none,fuzzy_connectedness,0.6486475116738883,23519,True,True,both_tolerable,False,True,1.390625,2.160392872438078,True,11831469,11533848,0.9997589588165283,5740.0,0.18,
normal_threshold_fc,train,315,normal,none,fuzzy_connectedness,0.6445865287543614,27246,True,True,both_tolerable,False,True,0.0,0.5,True,12588138,12429464,0.9997662901878357,6202.0,0.18,
normal_threshold_fc,train,428,normal,none,fuzzy_connectedness,0.629411219040299,31419,True,True,both_tolerable,False,True,0.0,1.2202077119702048,True,12617439,12468805,0.9997718334197998,8927.0,0.18,
normal_threshold_fc,train,752,normal,none,fuzzy_connectedness,0.7263222720307062,35604,True,True,both_tolerable,False,True,0.0,0.5,True,8617680,7856116,0.999847412109375,8869.0,0.18,
normal_threshold_fc,train,13,normal,none,fuzzy_connectedness,0.5460857296675145,21253,True,True,both_tolerable,False,True,2.0859375,1.1031404921008474,True,12338830,12137872,0.9997400045394897,5724.0,0.18,
normal_threshold_fc,train,538,normal,none,fuzzy_connectedness,0.4413952815168621,9831,True,True,both_tolerable,False,True,0.0,0.8095744354916121,True,12495664,12072304,0.9997305870056152,2929.0,0.18,
normal_threshold_fc,train,965,normal,none,fuzzy_connectedness,0.46742390716428184,13011,True,True,both_tolerable,False,True,1.4820293967437015,5.215854595380919,True,12597889,12460364,0.9997977018356323,3437.0,0.18,
normal_threshold_fc,train,447,normal,none,fuzzy_connectedness,0.47853380019557745,10794,False,True,found_but_wrong,False,False,0.0,11.282064223559944,True,11684575,11506073,0.9997526407241821,2912.0,0.18,
normal_threshold_fc,train,836,normal,none,fuzzy_connectedness,0.7180410230037384,23369,True,True,both_tolerable,False,True,0.9004562916672442,0.5,True,10869642,10324182,0.9997773766517639,6616.0,0.18,
normal_threshold_fc,train,603,normal,none,fuzzy_connectedness,0.4394614815976345,13680,False,True,found_but_wrong,False,False,0.0,27.84537235076125,True,8507098,8264026,0.9997372031211853,3942.0,0.18,
normal_threshold_fc,train,676,normal,none,fuzzy_connectedness,0.4368136371086707,7125,True,True,both_tolerable,False,True,1.1576348337032387,0.8916609243998318,True,13123804,12960701,0.9997195601463318,2027.0,0.18,
normal_threshold_fc,train,44,normal,none,fuzzy_connectedness,0.3171667829727844,47681,False,True,found_but_wrong,False,False,0.58984375,26.54707531238802,True,7813929,7622339,0.9998665452003479,11304.0,0.18,
normal_threshold_fc,train,129,normal,none,fuzzy_connectedness,0.7076324065292268,26762,True,True,both_tolerable,False,True,2.23828125,0.5,True,11825263,11633983,0.999755322933197,7768.0,0.18,
normal_threshold_fc,train,518,normal,none,fuzzy_connectedness,0.6703087885985748,24303,True,True,both_tolerable,False,True,0.0,0.8532541254157887,True,11172219,10940762,0.9997923970222473,5883.0,0.18,
normal_threshold_fc,train,793,normal,none,fuzzy_connectedness,0.7264929911028611,16324,True,True,both_tolerable,False,True,0.8437861682062879,2.7741306352170945,True,9405673,9241075,0.9997380971908569,3996.0,0.18,
